0,1,2,3,4,5
Wine,Chips,Bread,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,
Wine,,Bread,Butter,Milk,
Wine,Chips,,,,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,
Wine,Chips,Bread,Butter,Milk,Apple
Wine,,Bread,Butter,Milk,Apple
Wine,Chips,,,Milk,Apple
Wine,Chips,Bread,Butter,,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Wine,,Bread,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,
Wine,Chips,Bread,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,
Wine,Chips,Bread,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Wine,Chips,Bread,,Milk,Apple
Wine,Chips,,,,
